City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,namsos,64.4662,11.4957,13.03,93,40,1.54,NO,1722464718
84,delvada,20.7667,71.0333,26.85,89,100,7.93,IN,1722464719
85,rawah,34.4816,41.9093,32.57,22,0,2.43,IQ,1722464720
86,jayapura,-2.5333,140.7,25.66,94,97,1.84,ID,1722464724
87,lihue,21.9789,-159.3672,28.77,63,0,7.2,US,1722464726
88,codrington,-38.2667,141.9667,4.51,74,98,3.66,AU,1722464727
89,ushuaia,-54.8,-68.3,3.81,70,75,4.63,AR,1722464728
90,hammerfest,70.6634,23.6821,14.25,82,0,5.66,NO,1722464729
91,nova sintra,14.8667,-24.7167,25.15,77,51,6.03,CV,1722464731
92,tingi,-11.3,35.0333,13.8,44,12,1.22,TZ,1722464732
93,mazara del vallo,37.6641,12.588,26.67,56,0,1.58,IT,1722464733
94,iqaluit,63.7506,-68.5145,8.85,57,20,4.63,CA,1722464734
95,kolonia town,6.964,158.206,31.0,74,40,1.54,FM,1722464736
96,liberal,37.0431,-100.921,40.08,24,0,7.2,US,1722464737
97,nyurba,63.2842,118.3319,11.29,67,100,2.23,RU,1722464738
98,hamilton,39.1834,-84.5333,29.43,74,75,8.75,US,1722464739
99,gibong,11.8634,122.0394,26.1,81,100,2.53,PH,1722464741
100,nawabshah,26.2483,68.4096,31.7,69,54,6.78,PK,1722464742
101,new norfolk,-42.7826,147.0587,5.51,97,22,1.14,AU,1722464743
102,mo i rana,66.3128,14.1428,13.51,93,100,3.13,NO,1722464744
103,inari,68.906,27.0288,13.31,87,17,4.0,FI,1722464746
104,chaohu,31.6,117.8667,28.06,79,2,3.57,CN,1722464747
105,kargasok,59.0556,80.8572,13.54,91,15,2.09,RU,1722464748
106,bilibino,68.0546,166.4372,4.0,51,92,1.58,RU,1722464749
107,barinitas,8.7622,-70.4111,25.27,74,64,1.56,VE,1722464751
108,susuman,62.7833,148.1667,3.51,77,100,2.49,RU,1722464752
109,acajutla,13.5928,-89.8275,29.55,72,100,2.78,SV,1722464753
110,albu kamal,34.45,40.9186,33.47,25,0,3.76,SY,1722464754
111,mirny,62.5353,113.9611,9.34,66,31,1.63,RU,1722464756
112,mildura,-34.2,142.15,6.53,59,40,3.66,AU,1722464757
113,alice springs,-23.7,133.8833,-2.25,69,0,3.09,AU,1722464485
114,khandyga,62.6667,135.6,7.83,85,100,2.06,RU,1722464759
115,grand falls-windsor,48.9332,-55.6649,22.5,90,36,5.28,CA,1722464761
116,marilia,-22.2139,-49.9458,24.93,50,0,2.06,BR,1722464762
117,kirovsk,48.6375,38.6428,17.46,55,29,1.87,UA,1722464764
118,camapua,-19.5314,-54.0439,27.96,25,25,2.81,BR,1722464766
119,east london,-33.0153,27.9116,12.84,60,0,5.12,ZA,1722464767
120,udachny,66.4167,112.4,9.58,57,85,1.49,RU,1722464768
121,camarinas,43.1311,-9.1817,19.54,94,93,2.68,ES,1722464769
122,la'ie,21.6477,-157.9253,29.47,70,61,2.68,US,1722464771
123,tolanaro,-25.0319,46.9987,17.04,94,20,1.03,MG,1722464772
124,dondo,-19.6094,34.7431,21.73,89,2,1.52,MZ,1722464773
125,vadso,70.0744,29.7487,12.49,82,40,8.75,NO,1722464774
126,port elizabeth,-33.918,25.5701,12.16,89,0,4.12,ZA,1722464776
127,oranjemund,-28.55,16.4333,11.66,81,0,6.7,NA,1722464777
128,magadan,59.5667,150.8,11.38,85,100,1.89,RU,1722464778
129,barranca,-10.75,-77.7667,18.75,75,1,3.1,PE,1722464779
130,boguchany,58.3814,97.4531,16.37,96,100,1.44,RU,1722464781
131,vilyuchinsk,52.9306,158.4028,14.15,95,100,1.12,RU,1722464782
132,mao,39.8885,4.2658,26.31,89,0,2.06,ES,1722464783
133,evanston,42.0411,-87.6901,33.94,50,20,2.06,US,1722464785
134,alofi,-19.0595,-169.9187,24.94,57,75,5.14,NU,1722464786
135,prince rupert,54.3161,-130.3201,14.83,94,100,4.12,CA,1722464788
136,nova xavantina,-14.6667,-52.35,28.08,27,2,1.46,BR,1722464789
137,walvis bay,-22.9575,14.5053,11.16,87,0,1.23,NA,1722464792
138,lundazi,-12.2929,33.1782,15.03,33,1,3.11,ZM,1722464793
139,aswan,24.0934,32.907,33.61,19,0,0.0,EG,1722464794
140,san francisco,37.7749,-122.4194,31.04,68,40,7.2,US,1722464565
141,zhumadian,32.9794,114.0294,26.77,87,100,3.19,CN,1722464797
142,geraldton,-28.7667,114.6,16.23,63,100,7.2,AU,1722464798
143,kembe,4.6228,21.8865,22.28,86,99,0.46,CF,1722464799
144,saint-pierre,-21.3393,55.4781,19.82,56,0,3.6,RE,1722464801
145,quepos,9.4236,-84.1652,26.04,89,83,1.75,CR,1722464802
146,sairang,23.8,92.6667,25.21,99,100,1.01,IN,1722464803
147,mar del plata,-38.0023,-57.5575,11.4,89,0,6.71,AR,1722464793
148,madang,-5.2246,145.7966,26.1,91,100,1.0,PG,1722464806
149,kidal,18.4411,1.4078,26.71,62,90,5.0,ML,1722464807
150,kalevala,65.2,31.1667,12.23,99,100,1.81,RU,1722464808
151,kerikeri,-35.2268,173.9474,13.84,96,98,0.25,NZ,1722464810
152,vorgashor,67.5833,63.95,15.89,91,97,1.72,RU,1722464812
153,tazovsky,67.4667,78.7,12.41,96,99,4.24,RU,1722464813
154,colonia,50.9333,6.95,21.08,87,0,0.51,DE,1722464814
155,saint-louis,16.3333,-15.0,29.8,56,5,7.92,SN,1722464815
156,ribeira grande,38.5167,-28.7,22.1,83,55,2.24,PT,1722464817
157,fisterra,42.9049,-9.2629,19.45,93,100,3.52,ES,1722464819
158,laguna,38.421,-121.4238,37.52,32,0,2.06,US,1722464820
159,utrik,11.2278,169.8474,28.11,80,56,6.26,MH,1722464808
160,newnham,-41.3833,147.1333,3.25,93,75,3.09,AU,1722464823
161,ouro sogui,15.6,-13.3167,33.01,46,0,1.03,SN,1722464825
162,remire-montjoly,4.9167,-52.2667,28.02,83,20,2.06,GF,1722464803
163,tosontsengel,48.7567,98.2839,13.02,87,100,2.09,MN,1722464827
164,avsallar,36.616,31.7806,29.24,41,0,2.54,TR,1722464828
165,morant bay,17.8815,-76.4093,32.79,75,57,5.63,JM,1722464830
166,sisimiut,66.9395,-53.6735,9.14,62,42,5.68,GL,1722464831
167,devils lake,48.1128,-98.8651,28.3,54,0,3.13,US,1722464832
168,malvan,16.0667,73.4667,26.5,89,100,8.49,IN,1722464833
169,tsiombe,-25.3,45.4833,15.74,79,0,0.87,MG,1722464834
170,aasiaat,68.7098,-52.8699,3.08,87,63,1.83,GL,1722464836
171,bonthe,7.5264,-12.505,24.78,89,92,4.9,SL,1722464837
172,mount pearl,47.5166,-52.7813,22.4,90,40,8.75,CA,1722464826
173,gadzhiyevo,69.2551,33.3362,9.75,90,100,8.06,RU,1722464839
174,palotina,-24.2839,-53.84,21.98,52,21,3.55,BR,1722464841
175,abay,49.6311,72.8539,13.21,50,0,3.35,KZ,1722464842
176,flying fish cove,-10.4217,105.6791,23.82,88,75,4.12,CX,1722464843
177,nurabad,34.0734,47.9725,22.4,20,0,1.71,IR,1722464844
178,shortandy,51.7006,70.9994,23.5,46,57,3.99,KZ,1722464845
179,callao,-12.0667,-77.15,22.46,80,11,4.45,PE,1722464847
180,cannonvale,-20.2833,148.7,17.66,78,7,8.42,AU,1722464848
181,pahlgam,34.0333,75.3333,14.8,90,57,0.75,IN,1722464849
182,abbotsford,49.058,-122.2526,23.91,69,75,3.6,CA,1722464850
183,bardai,11.65,7.2333,22.4,89,100,3.41,NG,1722464852
184,carhaix-plouguer,48.2759,-3.5733,17.23,97,7,1.64,FR,1722464853
185,kodiak,57.79,-152.4072,18.73,42,0,6.17,US,1722464826
186,puerto baquerizo moreno,-0.9,-89.6,22.55,83,75,5.66,EC,1722464855
187,enewetak,11.3474,162.3373,28.77,76,58,6.1,MH,1722464804
188,robertsport,6.7533,-11.3686,25.27,84,100,6.94,LR,1722464858
189,ta`u,-14.2336,-169.5144,25.41,63,95,9.4,AS,1722464856
190,cabo san lucas,22.8909,-109.9124,31.61,59,20,7.2,MX,1722464415
191,hankasalmi,62.3833,26.4333,14.17,99,100,2.39,FI,1722464861
192,ust-nera,64.5667,143.2,2.96,98,100,3.83,RU,1722464815
193,rizhao,35.4275,119.4553,27.1,92,100,3.2,CN,1722464864
194,fortuna,40.5982,-124.1573,19.51,82,0,6.17,US,1722464822
195,mariehamn,60.0973,19.9348,16.57,100,20,1.54,AX,1722464867
196,wailea,19.8858,-155.123,27.57,76,0,4.12,US,1722464868
197,port shepstone,-30.7414,30.455,13.91,67,0,3.85,ZA,1722464870
198,vakhrushi,58.6847,50.0261,13.34,93,47,1.72,RU,1722464871
199,newport,51.5877,-2.9984,23.92,77,87,1.97,GB,1722464872
200,touros,-5.1989,-35.4608,24.43,80,8,7.21,BR,1722464873
201,bokhan,53.153,103.7714,16.79,98,100,3.09,RU,1722464856
202,nouadhibou,20.931,-17.0347,20.99,88,10,8.23,MR,1722464876
203,khan shaykhun,35.4406,36.6499,24.42,67,0,1.61,SY,1722464877
204,villanueva,15.3167,-88.0,30.58,70,40,6.17,HN,1722464878
205,saint david's,12.0333,-61.6667,29.69,74,20,5.14,GD,1722464879
206,kasongo-lunda,-6.4667,16.8167,24.36,39,0,1.08,CD,1722464881
207,palapag,12.5458,125.1147,24.73,91,100,0.97,PH,1722464882
208,sandnessjoen,66.0217,12.6316,14.29,86,100,6.65,NO,1722464883
209,lebu,-37.6167,-73.65,11.3,92,100,13.43,CL,1722464816
210,erwin,36.1451,-82.4168,29.11,61,2,0.52,US,1722464886
211,nantucket,41.2835,-70.0995,25.08,91,100,7.2,US,1722464887
212,arraial do cabo,-22.9661,-42.0278,18.98,100,75,2.57,BR,1722464861
213,langxiang,46.95,128.8833,20.73,99,100,1.18,CN,1722464889
214,taoudenni,22.6783,-3.9836,37.05,8,16,7.98,ML,1722464890
215,keflavik,64.0049,-22.5624,11.95,100,100,3.09,IS,1722464852
216,porto seguro,-16.4497,-39.0647,23.29,88,40,1.03,BR,1722464893
217,pandan,14.0453,124.1694,26.39,83,100,2.28,PH,1722464895
218,kyzyl-mazhalyk,51.1333,90.6,13.96,74,0,0.33,RU,1722464897
219,olavarria,-36.8927,-60.3225,12.45,76,100,5.16,AR,1722464898
220,lompoc,34.6391,-120.4579,26.44,72,0,7.2,US,1722464899
221,hithadhoo,-0.6,73.0833,28.64,78,78,5.85,MV,1722464795
222,ulsteinvik,62.3432,5.8487,13.51,82,8,1.79,NO,1722464901
223,hirara,24.8,125.2833,29.15,89,20,2.57,JP,1722464903
224,papatowai,-46.5619,169.4708,5.88,72,72,0.75,NZ,1722464905
225,zapala,-38.8992,-70.0544,11.41,37,100,10.09,AR,1722464906
226,carnarvon,-24.8667,113.6333,19.06,81,0,4.82,AU,1722464909
227,bom jesus,-9.0744,-44.3586,27.26,30,11,2.37,BR,1722464910
228,pamandzi,-12.7967,45.2794,23.88,83,0,2.57,YT,1722464912
229,alaior,39.9303,4.1404,25.86,89,0,2.06,ES,1722464914
230,thames,-37.1333,175.5333,10.41,96,100,2.12,NZ,1722464915
231,monticello,45.3055,-93.7941,23.02,88,75,7.2,US,1722464916
232,crucecita,-28.95,-58.9833,22.61,63,89,5.38,AR,1722464859
233,kununurra,-15.7667,128.7333,13.99,72,45,0.0,AU,1722464919
234,weno,7.4515,151.8468,30.97,74,20,1.54,FM,1722464920
235,tadine,-21.55,167.8833,20.49,74,100,4.98,NC,1722464921
236,manokwari,-0.8667,134.0833,26.34,74,98,1.32,ID,1722464922
237,guerrero negro,27.9769,-114.0611,23.66,60,3,8.9,MX,1722464924
238,la ronge,55.1001,-105.2842,27.14,34,75,3.6,CA,1722464848
239,pangkalpinang,-2.1333,106.1333,24.57,95,89,2.03,ID,1722464926
240,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,3.0,RU,1722464927
241,jutai,-5.1833,-68.9,31.96,41,9,0.73,BR,1722464928
242,shentala,54.45,51.4833,15.2,71,7,1.7,RU,1722464930
243,saint-joseph,-21.3667,55.6167,19.21,77,3,1.46,RE,1722464931
244,amvrosiyivka,47.7935,38.4777,21.06,45,51,3.49,UA,1722464932
245,princeville,45.7668,-61.2985,27.01,76,0,4.63,CA,1722464933
246,cascais,38.6979,-9.4215,21.2,81,20,10.29,PT,1722464934
247,mandera,3.9366,41.867,25.95,66,64,9.02,KE,1722464936
248,saldanha,-33.0117,17.9442,6.03,80,0,6.18,ZA,1722464937
249,kulhudhuffushi,6.6221,73.07,27.74,80,100,3.89,MV,1722464938
250,honggang,46.4667,124.8667,20.65,92,100,3.82,CN,1722464939
251,kingston,17.997,-76.7936,32.53,62,20,10.29,JM,1722464941
252,sierakowice,54.3461,17.8925,15.66,96,1,2.62,PL,1722464942
253,harstad,68.799,16.5293,15.9,77,81,2.24,NO,1722464943
254,richards bay,-28.783,32.0377,15.19,84,0,1.06,ZA,1722464944
255,mejit,10.2753,170.8646,28.07,80,19,5.99,MH,1722464946
256,sarandi del yi,-33.35,-55.6333,15.57,93,98,4.77,UY,1722464947
257,badger,64.8,-147.5333,15.14,65,100,5.14,US,1722464948
258,coquimbo,-29.9533,-71.3436,12.85,87,75,4.63,CL,1722464807
259,camana,-16.6228,-72.7111,15.85,86,17,1.03,PE,1722464950
260,warka,51.7843,21.1909,19.92,47,98,0.54,PL,1722464952
261,balnearia,-31.0088,-62.6673,21.0,60,96,6.15,AR,1722464953
262,muscat,23.6139,58.5922,32.01,63,100,3.26,OM,1722464954
263,mahina,-17.5065,-149.489,24.87,57,20,10.8,PF,1722464841
264,hilo,19.7297,-155.09,27.85,73,0,4.12,US,1722464698
265,happy valley-goose bay,53.3168,-60.3315,23.17,68,75,7.2,CA,1722464958
266,ath thawrah,35.8469,38.5443,28.9,53,0,8.79,SY,1722464959
267,norresundby,57.0483,9.9352,14.01,86,3,4.12,DK,1722464960
268,kruisfontein,-34.0033,24.7314,7.13,77,0,3.21,ZA,1722464816
269,iskateley,67.6803,53.1512,15.91,83,73,3.8,RU,1722464963
270,pailon,-17.65,-62.75,26.5,25,0,5.46,BO,1722464964
271,klyuchi,52.2667,79.1667,21.91,57,2,3.16,RU,1722464852
272,hilsa,25.3167,85.2833,29.96,66,96,2.11,IN,1722464966
273,toliara,-23.35,43.6667,17.22,72,0,4.65,MG,1722464967
274,santa rosalia,27.3167,-112.2833,31.05,56,0,4.15,MX,1722464969
275,kokstad,-30.5472,29.4241,3.24,58,0,0.78,ZA,1722464970
276,kiri buru,22.0833,85.35,24.45,97,100,2.72,IN,1722464971
277,maua,-23.6678,-46.4614,16.89,95,41,3.18,BR,1722464972
278,yazd,31.8972,54.3675,37.06,16,75,1.03,IR,1722464974
279,christchurch,-43.5333,172.6333,5.93,86,100,4.12,NZ,1722464583
280,pervomayskoye,43.919,46.7102,26.22,37,100,3.16,RU,1722464976
281,mogadishu,2.0371,45.3438,24.5,84,61,6.57,SO,1722464977
282,kerman,30.2832,57.0788,24.92,22,0,2.06,IR,1722464980
283,gisborne,-38.6533,178.0042,11.74,86,100,11.13,NZ,1722464981
284,nagamangala,12.8156,76.7575,21.12,91,100,5.3,IN,1722464982
285,abeche,13.8292,20.8324,23.55,92,100,3.07,TD,1722464984
286,diego de almagro,-26.3667,-70.05,19.39,25,100,1.95,CL,1722464985
287,peace river,56.2501,-117.286,17.17,82,75,6.17,CA,1722464986
288,lala,7.9745,123.7458,22.96,97,99,0.17,PH,1722464988
289,hotan,37.0997,79.9269,28.97,25,91,2.01,CN,1722464990
290,cururupu,-1.8283,-44.8683,24.73,85,0,1.69,BR,1722464991
291,paracuru,-3.41,-39.0306,27.28,84,9,6.34,BR,1722464993
292,urangan,-25.3,152.9,14.08,68,0,6.13,AU,1722464995
293,mata-utu,-13.2816,-176.1745,26.06,71,100,8.42,WF,1722464858
294,lazaro cardenas,17.9583,-102.2,31.32,60,52,4.44,MX,1722464997
295,trinidad,-14.8333,-64.9,30.99,48,0,1.54,BO,1722464722
296,sao gabriel da cachoeira,-0.1303,-67.0892,25.27,90,89,1.4,BR,1722464999
297,malango,-2.9627,119.9001,19.97,97,85,0.51,ID,1722465001
298,silver city,32.7701,-108.2803,29.79,39,0,6.69,US,1722465002
299,pauini,-7.7136,-66.9764,28.72,39,0,0.49,BR,1722465003
300,yaren,-0.5472,166.916,29.14,71,2,5.04,NR,1722465004
301,atlantis,-33.5667,18.4834,10.1,90,0,2.15,ZA,1722465006
302,puerto lempira,15.2667,-83.7667,27.08,78,75,0.0,HN,1722465007
303,sao joao da barra,-21.6403,-41.0511,20.05,69,17,5.69,BR,1722465008
304,pilani,28.3684,75.6041,25.31,93,100,8.56,IN,1722465010
305,acapulco de juarez,16.8634,-99.8901,30.9,66,100,3.6,MX,1722465012
306,cativa,9.3606,-79.8436,30.1,81,98,1.34,PA,1722465013
307,cromer,52.9312,1.2989,17.82,88,38,4.37,GB,1722465014
308,mount gambier,-37.8333,140.7667,6.38,81,13,2.46,AU,1722465015
309,skelleftea,64.7507,20.9528,14.44,100,100,3.6,SE,1722465017
310,ola,59.5833,151.2833,12.26,82,100,2.27,RU,1722465018
311,siwa oasis,29.2041,25.5195,30.95,33,0,2.8,EG,1722465019
312,nar'yan-mar,67.6713,53.087,15.66,86,80,3.81,RU,1722465021
313,sao vicente,-23.9631,-46.3919,21.1,26,20,1.37,BR,1722465023
314,outjo,-20.1167,16.15,10.41,24,3,0.83,NA,1722465024
315,nemuro,43.3236,145.575,15.97,94,100,2.53,JP,1722465025
316,gereida,11.2811,25.1414,23.21,89,58,3.65,SD,1722465027
317,cajaruro,-5.7364,-78.4256,27.86,59,65,2.45,PE,1722465029
318,sarangani,5.4033,125.4636,28.34,74,43,0.65,PH,1722465030
319,nabire,-3.3667,135.4833,24.3,92,88,1.36,ID,1722465031
320,dawei,14.0833,98.2,24.56,93,100,1.55,MM,1722465032
321,kristiansund,63.1115,7.732,14.03,86,100,3.6,NO,1722465034
322,argo,37.6333,22.7333,24.88,38,0,1.87,GR,1722465035
323,arhus,56.1567,10.2108,13.12,85,7,3.18,DK,1722464937
324,oneida,43.2001,-75.4663,27.32,85,40,5.14,US,1722465037
325,maintirano,-18.0667,44.0167,21.56,78,13,4.75,MG,1722465039
326,badagry,6.4167,2.8833,24.19,91,67,4.57,NG,1722465040
327,sidi khaled,34.387,4.9879,34.76,17,0,4.04,DZ,1722465041
328,zakynthos,37.7914,20.8953,23.68,78,0,0.28,GR,1722465042
329,tambo,-14.8,-73.9167,6.4,47,34,2.75,PE,1722465044
330,cayenne,4.9333,-52.3333,28.02,83,20,2.06,GF,1722465045
331,nagai,38.1036,140.035,25.28,75,92,0.63,JP,1722465046
332,saint-philippe,-21.3585,55.7679,19.77,77,5,1.21,RE,1722465047
333,anadyr,64.75,177.4833,12.28,93,75,3.0,RU,1722464851
334,alaghsas,17.0187,8.0168,30.81,50,37,7.22,NE,1722465050
335,khonsa,27.0167,95.5667,22.95,98,91,2.2,IN,1722465051
336,cholpon-ata,42.6494,77.0823,17.03,69,0,1.11,KG,1722465052
337,kavaratti,10.5669,72.642,26.65,88,100,6.14,IN,1722465023
338,port lincoln,-34.7333,135.8667,10.68,49,46,4.61,AU,1722465055
339,liangxiang,39.7319,116.14,26.54,78,20,1.33,CN,1722465056
340,luanda,-8.8368,13.2343,20.0,94,20,2.06,AO,1722465057
341,luderitz,-26.6481,15.1594,14.49,47,0,6.86,NA,1722465058
342,runka,12.4479,7.3092,24.73,80,94,4.28,NG,1722465060
343,hobyo,5.3505,48.5268,24.3,82,98,11.1,SO,1722465061
